,Institue
1340,"PB. GOVT. DENTAL COLLEG
E & HOSP,A MRITSA R,SSSS
Chowk Majitha Road, Amritsar, Punjab, 143001"
1341,"PB. GOVT. DENTAL COLLEGE & HOSP,AMRITSAR ,
Majitha Road,Amritsar, Punjab, 143001"
1342,"PB. GOVT. DENTAL COLLEGE & HOSP,AMRITSAR ,
SSSS Chowk Majitha Road, Amritsar, Punjab, 143001"
1343,"PB. GOVT. DENTAL COLLEGE & HOSP,AMRITSAR,Majitha Road,Amritsar, Punjab, 143001"
1344,"PB. GOVT. DENTAL COLLEGE & HOSP,AMRITSAR,SSSS Chowk Majitha Road,
Amritsar, Punjab, 143001"
1345,"PT. B.D. SHARM A PGIMS, ROHTAK
,Pt. B.D.
Sharma PGIMS,
Rohtak, Haryana, 124001"
1346,"PT. B.D. SHARMA PGIMS, ROHTAK ,
Pt. B.D. Sharma PGIMS, Rohtak, Haryana, 124001"
1347,"PT. B.D. SHARMA PGIMS, ROHTAK,Pt. B.D. Sharma PGIMS, Rohtak, Haryana, 124001"
1348,"Panna Dai College of Nursing, New Delhi , Deen Dayal Upadhayay Hospital, Hari Nagar, Delhi, Delhi (NCT), 110064
(Female Seat only )"
1349,"Panna Dai College of Nursing, New Delhi,Deen Dayal Upadhayay Hospital, Hari Nagar, Delhi, Delhi (NCT), 110064 (Female Seat only )"
1350,"Phulo Jhano Medical College , Dumka , PHULO JHANO MEDICAL COLLEGE
DUMKA, Jharkhand, 814110"
1351,"Phulo Jhano Medical College , Dumka,P HULO JHANO MEDICA L COLLEG E DUMKA,
Jharkhan d, 814110"
1352,"Phulo Jhano Medical College , Dumka,PHULO JHANO MEDICAL COLLEGE DUMKA, Jharkhand, 814110"
1353,"Prafulla Chandra Sen Governm ent Medical College & Hospital, Arambag h,Aramb agh, Hooghly, West Bengal, 712601"
1354,"Prafulla Chandra Sen Government Medical College & Hospital, Arambagh , Arambagh, Hooghly, West Bengal, 712601"
1355,"Prafulla Chandra Sen Government Medical College & Hospital, Arambagh,Arambagh, Hooghly, West Bengal, 712601"
1356,"Pt.
Jawahar Lal Nehru Govt.
Med. College, Chamba, Pt.
Jawaharl al Nehru Govt.
Medical College Chamba, Himachal Pradesh, 176310"
1357,"Pt.
Raghuna th Murmu Med.
College, Baripada
,Rangam atia , p.o- Sankhab hanga , Via- Laxmipo si, Odisha, 757107"
1358,"Pt. D.D.U MEDICA L COLLEG E, RAJKOT,
Civil Hospital Campus, Jamnaga r Road Rajkot 360001,
Gujarat, 360001"
1359,"Pt. D.D.U MEDICAL COLLEGE, RAJKOT ,
Civil Hospital Campus, Jamnagar Road Rajkot 360001,
Gujarat, 360001"
1360,"Pt. D.D.U MEDICAL COLLEGE, RAJKOT,Civil Hospital Campus, Jamnagar Road Rajkot 360001, Gujarat, 360001"
1361,"Pt. J N M MEDICA L COLLEG E, RAIPUR,
In front of Central Jail, Jail Road Raipur C.G.,
Chhattisg arh, 492001"
1362,"Pt. J N M MEDICAL COLLEGE, RAIPUR ,
In front of Central Jail, Jail Road Raipur C.G., Chhattisgarh, 492001"
1363,"Pt. J N M MEDICAL COLLEGE, RAIPUR,In front of Central Jail, Jail Road Raipur C.G., Chhattisgarh, 492001"
1364,"Pt. Jawahar Lal Nehru Govt. Med. College, Chamba , Pt.
Jawaharlal Nehru Govt. Medical College Chamba, Himachal Pradesh, 176310"
1365,"Pt. Jawahar Lal Nehru Govt. Med. College, Chamba,Pt. Jawaharlal Nehru Govt.
Medical College Chamba, Himachal Pradesh, 176310"
1366,"Pt. Jawahar Lal Nehru Govt. Med. College, Chamba,Pt. Jawaharlal Nehru Govt. Medical College Chamba, Himachal Pradesh, 176310"
1367,"Pt. Raghunath Murmu Med. College, Baripada , Rangamatia , p.o- Sankhabhanga , Via- Laxmiposi, Odisha, 757107"
1368,"Pt. Raghunath Murmu Med. College, Baripada,Rangamatia , p.o-Sankhabhanga , Via- Laxmiposi, Odisha, 757107"
1369,"R.G. KAR MEDICA L COLLEG E,KOLK ATA,R G
Kar Medical College 1 KHUDIR AM BOSE SARANI,
West Bengal, 700004"
1370,"R.G. KAR MEDICAL COLLEGE,KOLKATA
, R G Kar Medical College
1 KHUDIRAM BOSE SARANI, West
Bengal, 700004"
1371,"R.G. KAR MEDICAL COLLEGE,KOLKATA,R G Kar Medical College 1 KHUDIRAM BOSE SARANI, West Bengal, 700004"
1372,"R.N.T. MEDICA L COLLEG E, UDAIPU
R,Opposi te Court Chourha, Udaipur, Rajastha n, 313001"
1373,"R.N.T. MEDICAL COLLEGE, UDAIPUR
, Opposite Court Chourha, Udaipur"
1374,"R.N.T. MEDICAL COLLEGE, UDAIPUR
, Opposite Court Chourha, Udaipur, Rajasthan, 313001"
1375,"R.N.T. MEDICAL COLLEGE, UDAIPUR,Opposite Court Chourha, Udaipur"
1376,"R.N.T. MEDICAL COLLEGE, UDAIPUR,Opposite Court Chourha, Udaipur, Rajasthan, 313001"
1377,"RAICHU R INST. OF MEDICA L SCI., RAICHU R,RAICH UR INSTITU TE OF MEDICA L SCIENC ES INDUST RIAL AREA, HYDERA BAD ROAD, RAICHU R,
Karnatak a 584102,
Karnatak a, 584102"
1378,"RAICHUR INST. OF MEDICAL SCI., RAICHUR , RAICHUR INSTITUTE OF MEDICAL SCIENCES INDUSTRIAL AREA, HYDERABAD ROAD, RAICHUR,
Karnataka 584102,
Karnataka, 584102"
1379,"RAICHUR INST. OF MEDICAL SCI., RAICHUR,RAICHUR INSTITUTE OF MEDICAL SCIENCES
INDUSTRIAL AREA,
HYDERABAD ROAD, RAICHUR,  Karnataka 584102, Karnataka, 584102"
1380,"RAJEND RA INST. OF MED. SCI., RANCHI,
Director, Rajendra Institute of Medical Sciences
,
Bariatu,R anchi, Jharkhan d, 843009"
1381,"RAJENDRA INST. OF MED. SCI.,
RANCHI , Director, Rajendra Institute of Medical Sciences, Bariatu,Ranchi, Jharkhand, 843009"
1382,"RAJENDRA INST. OF MED. SCI., RANCHI,Director, Rajendra Institute of Medical Sciences, Bariatu,Ranchi, Jharkhand, 843009"
1383,"RAJIV GANDHI INSTITU TE OF MEDICA L SCIENC ES, KADAPA
,RAJIV GANDHI INSTITU TE OF MEDICA L SCIENC ES RIMS, PUTLAM PALLI, YSR KADAPA DIST.,
Andhra Pradesh, 516002"
1384,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA
, RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES RIMS, PUTLAMPALLI, YSR KADAPA DIST.,
Andhra Pradesh, 516002"
1385,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA,RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES RIMS, PUTLAMPALLI, YSR KADAPA DIST.,
Andhra Pradesh, 516002"
1386,"RAJIV GANDHI MEDICA L COLLEG E, THANE, THANE BELAPU R ROAD KALWA THANE WEST,
Maharas htra, 400605"
1387,"RAJIV GANDHI MEDICAL COLLEGE, THANE , THANE BELAPUR ROAD KALWA THANE
WEST, Maharashtra, 400605"
1388,"RAJIV GANDHI MEDICAL COLLEGE, THANE,THANE BELAPUR ROAD  KALWA
THANE WEST, Maharashtra, 400605"
1389,"RAMPU RHAT GOVT MEDICA L COLLEG E RAMPU RHAT
,RAMPU RHAT GOVER NMENT MEDICA L COLLEG E AND HOSPIT AL PO RAMPU RHAT PS RAMPU RHAT PIN 731224 DIST BIRBHU
M, West Bengal, 731224"
1390,"RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT  , RAMPURHAT GOVERNMENT MEDICAL COLLEGE AND HOSPITAL PO RAMPURHAT PS RAMPURHAT PIN 731224 DIST BIRBHUM, West
Bengal, 731224"
1391,"RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT ,RAMPURHAT GOVERNMENT MEDICAL COLLEGE AND HOSPITAL PO RAMPURHAT PS RAMPURHAT PIN 731224 DIST BIRBHUM, West Bengal, 731224"
1392,"REGION AL DENTAL COLLEG E, GUWAH ATI,PO
Indrapur, Bhangag arh, Guwahati
, Assam, 781032"
1393,"REGION AL INST OF MEDICA L SCI, IMPHAL, PO
Lamphel pat, Imphal West District, Manipur, 795004"
1394,"REGIONAL DENTAL COLLEGE, GUWAHATI , PO
Indrapur,Bhangagarh, Guwahati, Assam, 781032"
1395,"REGIONAL DENTAL COLLEGE, GUWAHATI,PO Indrapur,Bhangagarh, Guwahati, Assam, 781032"
1396,"REGIONAL INST OF MEDICAL SCI, IMPHAL , PO
Lamphelpat, Imphal West District, Manipur, 795004"
1397,"REGIONAL INST OF MEDICAL SCI, IMPHAL,PO Lamphelpat, Imphal West District, Manipur, 795004"
1398,"RIMS
Srikakula m,Balaga Srikakula m, Andhra Pradesh, 532001"
1399,"RIMS Srikakulam , Balaga
Srikakulam, Andhra Pradesh, 532001"
1400,"RIMS Srikakulam,Balaga Srikakulam, Andhra Pradesh, 532001"
1401,"RIMS,
Ongole,B HAGYAN AGAR 5TH LANE, RIMS, ONGOL E, PRAKAS AM DISTRIC T, ANDHRA PRADES H,
Andhra Pradesh, 523001"
1402,"RIMS, Ongole , BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA
PRADESH, Andhra Pradesh, 523001"
1403,"RIMS, Ongole,BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT,
ANDHRA PRADESH, Andhra Pradesh, 523001"
1404,"RIMS, Ongole,BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 523001"
1405,"RUHS
College of Dental Science, Jaipur,R uhs College of dental science , johtwara road jaipur, Rajastha n, 302016"
1406,"RUHS
College of Medical Sciences
,
Jaipur,R UHS COLLEG E OF MEDICA L SCIENC ES, SECTOR
-11, PRATAP NAGAR, SANGAN ER, JAIPUR 302033,
Rajastha n, 302033"
1407,"RUHS College of Dental Science, Jaipur , Ruhs College of dental science , johtwara road jaipur, Rajasthan, 302016"
1408,"RUHS College of Dental Science, Jaipur,Ruhs College of dental science , johtwara road jaipur, Rajasthan, 302016"
1409,"RUHS College of Medical Sciences, Jaipur , RUHS COLLEGE OF MEDICAL SCIENCES, SECTOR
-11, PRATAP NAGAR, SANGANER, JAIPUR
302033, Rajasthan,
302033"
1410,"RUHS College of Medical Sciences, Jaipur,RUHS COLLEGE OF MEDICAL SCIENCES, SECTOR -11, PRATAP NAGAR, SANGANER, JAIPUR 302033,
Rajasthan, 302033"
1411,"RUHS College of Medical Sciences, Jaipur,RUHS COLLEGE OF MEDICAL SCIENCES, SECTOR -11, PRATAP NAGAR, SANGANER, JAIPUR 302033, Rajasthan, 302033"
1412,"Raiganj Governm ent Medical College, ABDULG HATA CAMPAS S, KARNAJ ORA,
PO- KARNAJ ORA,PS- RAIGAN J, DISTRIC T- UTTAR DINAJP UR,PIN- 733130, STATE,
West Bengal, 733130"
1413,"Raiganj Government Medical College , ABDULGHATA CAMPASS, KARNAJORA, PO- KARNAJORA,PS- RAIGANJ, DISTRICT- UTTAR DINAJPUR,PIN- 733130, STATE,
West Bengal, 733130"
1414,"Raiganj Government Medical College,ABDULGHATA CAMPASS, KARNAJORA, PO- KARNAJORA,PS- RAIGANJ, DISTRICT- UTTAR DINAJPUR,PIN-733130, STATE,
West Bengal, 733130"
1415,"Raiganj Government Medical College,ABDULGHATA CAMPASS, KARNAJORA, PO- KARNAJORA,PS- RAIGANJ, DISTRICT- UTTAR DINAJPUR,PIN-733130, STATE, West
Bengal, 733130"
1416,"Raja Rajeswar i Medical College Bengalur u,202,
Kambipu ra, Bengalur u Mysuru High Way,Ken geri Hobli, Bangalor e, Karnatak a, Karnatak a, 560074"
1417,"Raja Rajeswari Medical College Bengaluru , 202, Kambipura, Bengaluru  Mysuru High Way,Kengeri Hobli, Bangalore, Karnataka, Karnataka, 560074"
1418,"Raja Rajeswari Medical College Bengaluru,202, Kambipura, Bengaluru  Mysuru High Way,Kengeri Hobli, Bangalore, Karnataka, Karnataka, 560074"
1419,"Rajah Muthiah Dental College and Hos.
,
Annamal ai ,GOVT DENTAL COLLEG E AND HOSPIT AL, CUDDAL ORE DT- ERSTW HILE RAJAH MUTHIA H DENTAL COLLEG E AND HOSPIT
AL, Tamil Nadu, 608002"
1420,"Rajah Muthiah Dental College and Hos. , Annamalai  , GOVT DENTAL COLLEGE AND  HOSPITAL, CUDDALORE DT- ERSTWHILE RAJAH MUTHIAH DENTAL COLLEGE AND HOSPITAL, Tamil Nadu, 608002"
1421,"Rajah Muthiah Dental College and Hos. , Annamalai ,GOVT DENTAL COLLEGE AND HOSPITAL, CUDDALORE DT- ERSTWHILE RAJAH MUTHIAH DENTAL COLLEGE AND HOSPITAL, Tamil Nadu, 608002"
1422,"Rajah Muthiah Medical College, Annamal ai Universit, Governm ent Medical College and Hospital, Cuddalor e District, Erstwhile Rajah Muthiah Medical College, Tamil Nadu, 608002"
1423,"Rajah Muthiah Medical College, Annamalai Universit , Government Medical College and Hospital, Cuddalore District, Erstwhile Rajah Muthiah Medical College, Tamil Nadu, 608002"
1424,"Rajah Muthiah Medical College, Annamalai Universit,Government Medical College and Hospital, Cuddalore District, Erstwhile Rajah Muthiah Medical College, Tamil Nadu, 608002"
1425,"Rajarshe e Chhatrap ati Shahu Maharaj Governm ent Medical College Kolhapur
,Rajarsh ee Chhatrap ati Shahu Maharaj Governm ent Medical College,
R. K. Nagar Road, Shenda Park,
Kol, Maharas htra, 416012"
1426,"Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur , Rajarshee Chhatrapati Shahu Maharaj
Government Medical College, R. K. Nagar Road, Shenda Park, Kol, Maharashtra, 416012"
1427,"Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,Rajarshee Chhatrapati Shahu Maharaj
Government Medical College, R. K. Nagar Road, Shenda Park, Kol, Maharashtra, 416012"
1428,"Rajiv Gandhi Institute Medical Sce of Adilabad , MAIN ROAD, OLD NH 07, ADILABAD TOWN ADILABAD DISTRICT, TELANGANA STATE-504001,
Telangana, 504001"
1429,"Rajiv Gandhi Institute Medical Sce of Adilabad, MAIN ROAD, OLD NH 07, ADILABA D TOWN ADILABA D DISTRIC T, TELANG ANA STATE- 504001,
Telangan a, 504001"
1430,"Rajiv Gandhi Institute Medical Sce of Adilabad,MAIN ROAD, OLD NH 07, ADILABAD TOWN
ADILABAD DISTRICT, TELANGANA STATE-504001, Telangana, 504001"
1431,"Rajkiya Medical College, Jalaun , Kalpi Road Orai Jalaun, Uttar Pradesh, 285001"
1432,"Rajkiya Medical College, Jalaun,K alpi Road Orai Jalaun, Uttar Pradesh, 285001"
1433,"Rajkiya Medical College, Jalaun,Kalpi Road Orai Jalaun, Uttar Pradesh, 285001"
1434,"Rajmata shrimati devendra kumari singhdeo governm ent medical college, ambikap ur,Surguj a,Kanyap arisar Road Gangapu r Ambikap ur District Surguja, Chhattisg arh, 497001"
1435,"Rajmata shrimati devendra kumari singhdeo government medical college, ambikapur,Surguja , Kanyaparisar Road Gangapur Ambikapur District Surguja, Chhattisgarh, 497001"
1436,"Rajmata shrimati devendra kumari singhdeo government medical college, ambikapur,Surguja,Kanyaparisar Road Gangapur Ambikapur District Surguja, Chhattisgarh, 497001"
1437,"Rangara ya Medical College, Kakinada
,PITHAP URAM ROAD, KAKINA DA,
Andhra Pradesh, 533003"
1438,"Rangaraya Medical College, Kakinada , PITHAPURAM ROAD, KAKINADA,
Andhra Pradesh, 533003"
1439,"Rangaraya Medical College, Kakinada,PITHAPURAM ROAD, KAKINADA, Andhra Pradesh, 533003"
1440,"Rani Durgavat i Medical College, Banda,R ANI DURGA VATI MEDICA L COLLEG E, NARAINI ROAD, BANDA- 210001,
Uttar Pradesh, 210001"
1441,"Rani Durgavati Medical College, Banda , RANI DURGAVATI MEDICAL COLLEGE, NARAINI ROAD, BANDA-210001, Uttar
Pradesh, 210001"
1442,"Rani Durgavati Medical College, Banda,RANI DURGAVATI MEDICAL COLLEGE, NARAINI ROAD, BANDA-210001, Uttar Pradesh, 210001"
1443,"Rural Dental College, Loni , At - Loni  Tal - Rahata
Dist - Ahmednagar Maharashtra State, India
PIN-413736
(Near Shirdi), Maharashtra, 413736"
1444,"Rural Dental College, Loni,At - Loni  Tal
- Rahata Dist - Ahmedn agar Maharas htra State, India PIN- 413736
(Near Shirdi), Maharas htra, 413736"
1445,"Rural Dental College, Loni,At - Loni  Tal - Rahata Dist - Ahmednagar
Maharashtra State, India PIN-413736
(Near Shirdi), Maharashtra, 413736"
1446,"Rural Medical College and PIMS,
Loni,At - Loni BK Tal - Rahata Dist - Ahmedn agar Maharas htra State, India PIN- 413736
(Near Shird, Maharas htra, 413736"
1447,"Rural Medical College and PIMS, Loni , At - Loni  Tal - Rahata Dist - Ahmednagar Maharashtra State, India
PIN-413736
(Near Shirdi), Maharashtra, 413736"
1448,"Rural Medical College and PIMS, Loni , At - Loni BK  Tal - Rahata Dist - Ahmednagar Maharashtra State, India
PIN-413736
(Near Shird, Maharashtra, 413736"
1449,"Rural Medical College and PIMS, Loni,At - Loni  Tal - Rahata Dist - Ahmednagar
Maharashtra State, India PIN-413736
(Near Shirdi), Maharashtra, 413736"
1450,"Rural Medical College and PIMS, Loni,At - Loni BK  Tal - Rahata Dist - Ahmednagar
Maharashtra State, India PIN-413736
(Near Shird, Maharashtra, 413736"
1451,"S.C.B. MEDICA L COLL(D ENTAL), CUTTAC K,S.C.B.
Dental College and Hospital, Mangala bag, Cuttack, Pin-753 007,
Odisha, 753007"
1452,"S.C.B. MEDICA L COLLEG E, CUTTAC
K,Mangal abag, Cuttack, Odisha, 753007"
1453,"S.C.B. MEDICAL COLL(DENTAL),CUT TACK , S.C.B. Dental College and Hospital, Mangalabag, Cuttack, Pin-753 007, Odisha,
753007"
1454,"S.C.B. MEDICAL COLL(DENTAL),CUTTACK,S.C.B. Dental College and Hospital, Mangalabag, Cuttack, Pin-753 007, Odisha, 753007"
1455,"S.C.B. MEDICAL COLLEGE, CUTTACK ,
Mangalabag, Cuttack, Odisha, 753007"
1456,"S.C.B. MEDICAL COLLEGE, CUTTACK,Mangalabag, Cuttack, Odisha, 753007"
1457,"S.M.S. MEDICA L COLLEG E, JAIPUR, JLN
Marg, Jaipur, Rajastha n, 302004"
1458,"S.M.S. MEDICAL COLLEGE, JAIPUR ,
JLN Marg, Jaipur, Rajasthan, 302004"
1459,"S.M.S. MEDICAL COLLEGE, JAIPUR,JLN Marg, Jaipur, Rajasthan, 302004"
1460,"S.N. MEDICA L COLLEG E, AGRA,H OSPITAL ROAD AGRA,
Uttar Pradesh, 282002"
1461,"S.N. MEDICAL COLLEGE, AGRA , HOSPITAL ROAD
AGRA, Uttar Pradesh, 282002"
1462,"S.N. MEDICAL COLLEGE, AGRA,HOSPITAL ROAD AGRA, Uttar Pradesh, 282002"
1463,"S.S. MEDICA L COLLEG E, REWA,N EAR DHOBIY A TANKI, JAIL ROAD, REWA,
Madhya Pradesh, 486001"
1464,"S.S. MEDICAL COLLEGE, REWA ,
NEAR DHOBIYA TANKI, JAIL ROAD,
REWA, Madhya Pradesh, 486001"
1465,"S.S. MEDICAL COLLEGE, REWA,NEAR DHOBIYA TANKI, JAIL ROAD, REWA,
Madhya Pradesh, 486001"
1466,"S.S. MEDICAL COLLEGE, REWA,NEAR DHOBIYA TANKI, JAIL ROAD, REWA, Madhya Pradesh, 486001"
1467,"SARDAR PATEL MEDICA L COLLEG E, BIKANE R,MEDIC AL COLLEG E ROAD, BIKANE R,
Rajastha n, 334003"
1468,"SARDAR PATEL MEDICAL COLLEGE, BIKANER , MEDICAL COLLEGE ROAD,
BIKANER, Rajasthan, 334003"
1469,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,MEDICAL COLLEGE ROAD,
BIKANER, Rajasthan, 334003"
1470,"SATHYA BAMA UNIV.
Dental College and Hospt.
Chennai, JEPPIAA R NAGAR RAJIV GANDHI SALAI,
Tamil Nadu, 600119"
1471,"SATHYABAMA UNIV.
Dental College and Hospt. Chennai , JEPPIAAR NAGAR RAJIV GANDHI
SALAI, Tamil Nadu, 600119"
1472,"SATHYABAMA UNIV. Dental College and Hospt. Chennai,JEPPIAAR NAGAR RAJIV GANDHI SALAI, Tamil Nadu, 600119"
1473,"SBKS Med. Inst. and Res. Centre, Sumandeep Vidyapeeth , Sumandeep Vidyapeeth Deemed to be University Campus, At.
Po.Piparia, Tal.Waghodia, Dist.Vadodara, Gujarat, 391760"
1474,"SBKS Med. Inst. and Res. Centre, Sumandeep Vidyapeeth,Sumandeep Vidyapeeth Deemed to be University Campus, At. Po.Piparia, Tal.Waghodia,
Dist.Vadodara, Gujarat, 391760"
1475,"SDU
Medical College, Kolar,TA MAKA KOLAR,
Karnatak a, 563103"
1476,"SDU Medical College, Kolar , TAMAKA KOLAR, Karnataka, 563103"
1477,"SDU Medical College, Kolar,TAMAKA KOLAR, Karnataka, 563103"
1478,"SETH G.S. MEDICA L COLLEG E, MUMBAI
,ACHAR YA DONDE MARG PAREL MUMBAI
,
Maharas htra, 400012"
1479,"SETH G.S. MEDICAL COLLEGE, MUMBAI , ACHARYA DONDE MARG PAREL MUMBAI,
Maharashtra, 400012"
1480,"SETH G.S. MEDICAL COLLEGE, MUMBAI,ACHARYA DONDE MARG PAREL
MUMBAI, Maharashtra, 400012"
1481,"SH VASANT RAO NAIK GOVT.M. C.,YAVA TMAL,CI VIL LINES YAVATM AL,
Maharas htra, 445001"
1482,"SH VASANT RAO NAIK GOVT.M.C.,YAVATM AL , CIVIL LINES YAVATMAL,
Maharashtra, 445001"
1483,"SH VASANT RAO NAIK GOVT.M.C.,YAVATMAL,CIVIL LINES YAVATMAL,
Maharashtra, 445001"
1484,"SHEIKH BHIKHA RI MEDICA L COLLEG
E & HOSPIT AL, HAZARI BAG (
Formerly called as-
Hazariba gh Medical College, Hazariba g),NEAR CENTRA L JAIL, HAZARI BAG,
Jharkhan d, 825301"
1485,"SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL, HAZARIBAG (
Formerly called as- Hazaribagh Medical College, Hazaribag) , NEAR CENTRAL JAIL, HAZARIBAG,
Jharkhand, 825301"
1486,"SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL, HAZARIBAG ( Formerly
called as- Hazaribagh Medical College, Hazaribag),NEAR CENTRAL JAIL, HAZARIBAG, Jharkhand, 825301"
1487,"SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL, HAZARIBAG ( Formerly called
as- Hazaribagh Medical College, Hazaribag),NEAR CENTRAL JAIL, HAZARIBAG, Jharkhand, 825301"
1488,"SHIMOG A INST. OF MEDICA L SCI., SHIMOG A,SAGA R ROAD, MCGAN N HOSPIT AL CAMPU S, SHIVAM OGGA,
Karnatak a, 577201"
1489,"SHIMOGA INST. OF MEDICAL SCI., SHIMOGA , SAGAR ROAD, MCGANN HOSPITAL CAMPUS, SHIVAMOGGA,
Karnataka, 577201"
1490,"SHIMOGA INST. OF MEDICAL SCI., SHIMOGA,SAGAR ROAD, MCGANN HOSPITAL CAMPUS, SHIVAMOGGA, Karnataka, 577201"
1491,"SHKM GMC,
Nalhar, Mewat, Haryana, THE DIRECT OR, SHAHEE D HASAN KHAN,M EWATI GOVT. MEDICA L COLLEG E, NALHAR
, NUH - HARYAN A - 122107,
Haryana, 122107"
1492,"SHKM GMC, Nalhar, Mewat, Haryana , THE DIRECTOR, SHAHEED HASAN KHAN,MEWATI GOVT. MEDICAL COLLEGE, NALHAR, NUH - HARYANA -
122107, Haryana,
122107"
1493,"SHKM GMC, Nalhar, Mewat, Haryana,THE DIRECTOR, SHAHEED HASAN KHAN,MEWATI GOVT. MEDICAL COLLEGE, NALHAR, NUH - HARYANA - 122107,
Haryana, 122107"
1494,"SHRI ATAL BIHARI VAJPAY EE GOVER NMENT MEDICA L COLLEG E, CHHAIN SA, FARIDA
BAD,Shri Atal Bihari Vajpayee Governm ent Medical College Chhainsa Faridaba d, Haryana, 121004"
1495,"SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, CHHAINSA,
FARIDABAD,Shri Atal Bihari Vajpayee Government Medical College Chhainsa Faridabad, Haryana, 121004"
1496,"SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, CHHAINSA, FARIDABAD , Shri
Atal Bihari Vajpayee Government Medical College Chhainsa Faridabad, Haryana, 121004"
1497,"SHRI BHAUSA HEB HIRE GOVT. M.C., DHULE,
Shri.Bhu saheb Hire Governm ent Medical College Malegao n Road Chakkar bardi Area Dhule, Maharas htra, 424311"
1498,"SHRI BHAUSAHEB HIRE GOVT. M.C., DHULE ,
Shri.Bhusaheb Hire Government Medical College Malegaon Road Chakkarbardi Area Dhule, Maharashtra, 424311"
1499,"SHRI BHAUSAHEB HIRE GOVT. M.C., DHULE,Shri.Bhusaheb Hire Government Medical College Malegaon Road Chakkarbardi Area Dhule, Maharashtra, 424311"
1500,"SHRI KALYAN GOVT MEDICA L COLLEG E SIKAR,S
hri Kalyan Govt. Medical College, Bajaj Gram, Sanwali, NH 8 A,
Sikar 332001,
Rajastha n, 332001"
1501,"SHRI KALYAN GOVT MEDICAL COLLEGE
SIKAR , Shri Kalyan Govt. Medical College, Bajaj Gram, Sanwali, NH 8 A, Sikar 332001,
Rajasthan, 332001"
1502,"SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,Shri Kalyan Govt. Medical College, Bajaj Gram, Sanwali, NH 8 A, Sikar 332001, Rajasthan, 332001"
1503,"SILCHA R MEDICA L COLLEG E, SILCHE R,PO
Silchar Medical College, Silchar, Assam, 788014"
1504,"SILCHAR MEDICAL COLLEGE, SILCHER
, PO Silchar Medical College, Silchar, Assam, 788014"
1505,"SILCHAR MEDICAL COLLEGE, SILCHER,PO Silchar Medical College, Silchar, Assam, 788014"
1506,"SJP
Medical College, Bharatpu r,Rampur a, NH-
21,Sever Road,Bh aratpur,R ajasthan, Rajastha n, 321001"
1507,"SJP Medical College, Bharatpur , Rampura, NH-21,Sever Road,Bharatpur,Raja sthan, Rajasthan, 321001"
1508,"SJP Medical College, Bharatpur,Rampura, NH-21,Sever Road,Bharatpur,Rajasthan, Rajasthan, 321001"
1509,"SKIMS
Medical College, Bemina, Srinagar, SKIMS MC BEMINA
, SRINAG AR, JAMMU KASHMI R,
Jammu And Kashmir, 190018"
1510,"SKIMS Medical College, Bemina, Srinagar , SKIMS MC BEMINA , SRINAGAR, JAMMU
KASHMIR, Jammu And Kashmir, 190018"
1511,"SKIMS Medical College, Bemina, Srinagar,SKIMS MC BEMINA , SRINAGAR, JAMMU KASHMIR, Jammu And Kashmir, 190018"
1512,"SLBS
Govt. Medical College, Mandi,M andi at Nerchow k Tehsil Balh PO Bhangrot u, Himachal Pradesh, 175021"
1513,"SLBS Govt. Medical College, Mandi , Mandi at Nerchowk Tehsil Balh PO Bhangrotu, Himachal Pradesh, 175021"
1514,"SLBS Govt. Medical College, Mandi,Mandi at Nerchowk Tehsil Balh PO Bhangrotu, Himachal Pradesh, 175021"
1515,"SOBAN SINGH JEENA GOVER NMENT INSTITU TE OF MEDICA L SCIENC
E & RESEAR CH, ALMORA
,Near Vikas Bhawan Pandeyk hola Almora, Uttarakh and, 263601"
1516,"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE &
RESEARCH, ALMORA,Near Vikas Bhawan Pandeykhola Almora, Uttarakhand, 263601"
1517,"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE & RESEARCH, ALMORA , Near
Vikas Bhawan Pandeykhola Almora, Uttarakhand, 263601"
